epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4159.03,0.91633,0.54492,1.04952,0.94304,0.92494,0.97072,0.69096,0.91377,0.52256,1.10633,0.007921,0.007921,0.007921
44,4430.04,0.91861,0.54284,1.05523,0.9489,0.91951,0.97148,0.6919,0.91559,0.51911,1.10476,0.0078715,0.0078715,0.0078715
45,4697.1,0.91614,0.54548,1.05208,0.93913,0.92433,0.97105,0.69421,0.91102,0.51865,1.1011,0.007822,0.007822,0.007822
46,4969.42,0.90993,0.54103,1.04973,0.93954,0.92643,0.97077,0.69161,0.91113,0.51396,1.10091,0.0077725,0.0077725,0.0077725
47,5240.15,0.90673,0.5366,1.04868,0.94551,0.91778,0.96841,0.693,0.9072,0.51662,1.10138,0.007723,0.007723,0.007723
48,5509.68,0.89664,0.53386,1.04486,0.93488,0.92978,0.97131,0.69191,0.90341,0.51366,1.09727,0.0076735,0.0076735,0.0076735
49,5783.82,0.8964,0.52982,1.04358,0.94806,0.92694,0.97153,0.69751,0.90479,0.50832,1.10201,0.007624,0.007624,0.007624
50,6053.25,0.89168,0.52875,1.04118,0.94403,0.92293,0.9724,0.69792,0.90254,0.51065,1.10035,0.0075745,0.0075745,0.0075745
51,6319.73,0.89883,0.52967,1.0435,0.9421,0.92786,0.97252,0.69587,0.89942,0.50652,1.09821,0.007525,0.007525,0.007525
52,6591.03,0.89444,0.53013,1.0399,0.94226,0.9263,0.97083,0.69392,0.9013,0.50525,1.1002,0.0074755,0.0074755,0.0074755
53,6862.48,0.88756,0.52095,1.03783,0.94348,0.93038,0.97185,0.70022,0.89686,0.50191,1.09515,0.007426,0.007426,0.007426
54,7135.68,0.89699,0.53373,1.04516,0.94531,0.92348,0.97246,0.70047,0.88933,0.50278,1.09524,0.0073765,0.0073765,0.0073765
55,7405.4,0.89385,0.53062,1.04106,0.9431,0.92662,0.97314,0.70196,0.89316,0.50292,1.09511,0.007327,0.007327,0.007327
56,7678.8,0.89666,0.52654,1.04166,0.94403,0.9281,0.97191,0.70089,0.89064,0.50531,1.09312,0.0072775,0.0072775,0.0072775
57,7950.6,0.89103,0.52233,1.03965,0.94117,0.93217,0.9741,0.70329,0.88734,0.49899,1.09283,0.007228,0.007228,0.007228
58,8220.39,0.88434,0.51958,1.03501,0.94216,0.92799,0.97047,0.70288,0.88595,0.49795,1.09136,0.0071785,0.0071785,0.0071785
59,8494.3,0.87928,0.52279,1.03604,0.94284,0.92978,0.97307,0.70507,0.88636,0.49629,1.0948,0.007129,0.007129,0.007129
60,8766.97,0.8769,0.5158,1.03732,0.95071,0.92675,0.97319,0.70448,0.8848,0.48951,1.09186,0.0070795,0.0070795,0.0070795
61,9039.72,0.87418,0.51307,1.0326,0.94021,0.93409,0.9736,0.70547,0.88441,0.49618,1.09162,0.00703,0.00703,0.00703
62,9310.41,0.87552,0.51331,1.03423,0.95196,0.92273,0.97473,0.70647,0.88589,0.49379,1.09659,0.0069805,0.0069805,0.0069805
63,9582,0.87721,0.515,1.03628,0.94801,0.92605,0.974,0.70488,0.88385,0.48799,1.09497,0.006931,0.006931,0.006931
64,9852.68,0.87129,0.51482,1.03167,0.94433,0.93065,0.97414,0.70683,0.8808,0.49116,1.09067,0.0068815,0.0068815,0.0068815
65,10120.9,0.86293,0.50493,1.02609,0.94967,0.92676,0.97319,0.70485,0.87999,0.48995,1.0896,0.006832,0.006832,0.006832
66,10391.6,0.86584,0.508,1.02913,0.94944,0.92672,0.97453,0.70744,0.8791,0.48343,1.09121,0.0067825,0.0067825,0.0067825
67,10665.1,0.85761,0.49965,1.02505,0.95249,0.92168,0.97266,0.70665,0.87612,0.48505,1.08869,0.006733,0.006733,0.006733
68,10938,0.8542,0.5019,1.02287,0.94949,0.92573,0.97409,0.70902,0.87233,0.48354,1.08725,0.0066835,0.0066835,0.0066835
69,11209.2,0.85865,0.50243,1.0255,0.94497,0.93141,0.9742,0.70916,0.87215,0.48309,1.08775,0.006634,0.006634,0.006634
70,11479,0.85286,0.49931,1.02175,0.94794,0.92999,0.97316,0.70852,0.87254,0.48559,1.08955,0.0065845,0.0065845,0.0065845
71,11751.3,0.85084,0.49522,1.01943,0.94413,0.93329,0.97592,0.70952,0.87092,0.48329,1.08925,0.006535,0.006535,0.006535
72,12022.1,0.84726,0.49529,1.02048,0.94509,0.936,0.97611,0.71021,0.87051,0.48218,1.08895,0.0064855,0.0064855,0.0064855
73,12294.8,0.8474,0.49628,1.02062,0.94463,0.93198,0.97533,0.71006,0.86993,0.48108,1.08779,0.006436,0.006436,0.006436
74,284.516,0.81538,0.47959,1.00899,0.94788,0.93075,0.97484,0.71123,0.86776,0.48022,1.08859,0.0063865,0.0063865,0.0063865
75,580.103,0.81635,0.48318,1.00556,0.94582,0.93139,0.97415,0.71188,0.86553,0.47682,1.08984,0.006337,0.006337,0.006337
76,874.682,0.81394,0.48306,1.00778,0.94419,0.934,0.97365,0.71227,0.86529,0.47847,1.08945,0.0062875,0.0062875,0.0062875
77,1159.8,0.81394,0.4808,1.00531,0.94769,0.93116,0.9739,0.71175,0.8656,0.47941,1.09021,0.006238,0.006238,0.006238
78,1433.72,0.81096,0.47835,1.00521,0.94393,0.93436,0.97241,0.71213,0.86531,0.47789,1.09139,0.0061885,0.0061885,0.0061885
79,1704.51,0.81424,0.4765,1.00445,0.9485,0.9319,0.97328,0.71269,0.86065,0.47742,1.08751,0.006139,0.006139,0.006139
80,1976.11,0.81999,0.47894,1.00897,0.94725,0.92705,0.97474,0.71271,0.86254,0.4772,1.08919,0.0060895,0.0060895,0.0060895
81,2246.58,0.80876,0.47826,1.00353,0.94486,0.93033,0.97388,0.71144,0.86517,0.47657,1.09145,0.00604,0.00604,0.00604
82,2516.17,0.81001,0.4793,1.00591,0.94301,0.93347,0.97387,0.71244,0.86306,0.47645,1.09073,0.0059905,0.0059905,0.0059905
83,2784.9,0.80164,0.47515,1.00262,0.94684,0.93283,0.97404,0.71342,0.86112,0.47495,1.08841,0.005941,0.005941,0.005941
84,3054.06,0.80421,0.47754,1.00279,0.94895,0.93062,0.97476,0.71349,0.85813,0.47205,1.0871,0.0058915,0.0058915,0.0058915
85,3324.51,0.79748,0.4641,0.99798,0.94382,0.93564,0.97323,0.7136,0.86079,0.47514,1.09026,0.005842,0.005842,0.005842
86,3594.94,0.80115,0.47187,1.0025,0.94634,0.93443,0.97397,0.71327,0.85898,0.47335,1.08855,0.0057925,0.0057925,0.0057925
87,3864.37,0.79937,0.47049,0.99621,0.94575,0.93435,0.97514,0.71341,0.85987,0.47156,1.09029,0.005743,0.005743,0.005743
88,4132.76,0.78707,0.465,0.99078,0.94453,0.93556,0.97527,0.71222,0.85944,0.47156,1.0902,0.0056935,0.0056935,0.0056935
89,4402.18,0.7907,0.46481,0.99651,0.94645,0.93329,0.97503,0.71233,0.8599,0.47102,1.08994,0.005644,0.005644,0.005644
90,4632.17,0.7927,0.46819,0.99553,0.9446,0.93393,0.97468,0.71186,0.85881,0.47277,1.08913,0.0055945,0.0055945,0.0055945
91,4843.26,0.78683,0.46483,0.99383,0.94303,0.936,0.97462,0.71258,0.85831,0.47135,1.09052,0.005545,0.005545,0.005545
92,5119.48,0.7821,0.46069,0.99225,0.94241,0.93464,0.97468,0.71448,0.85698,0.47061,1.08947,0.0054955,0.0054955,0.0054955
